ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,25965.566917755656,-9107.27598237043,56483.78582078631,Barren or Sparsely Vegetated
2025-01-01,43507.419495755996,12821.354724194794,73168.56055981557,Barren or Sparsely Vegetated
2026-01-01,41885.71369324971,14031.3816449672,69793.0904388258,Barren or Sparsely Vegetated
2027-01-01,40347.5395983177,8107.494139845666,69056.86039131648,Barren or Sparsely Vegetated
2028-01-01,38898.73001635154,7181.148191007493,70246.64595012434,Barren or Sparsely Vegetated
2029-01-01,56440.58259435721,27883.68963508945,83651.9077460687,Barren or Sparsely Vegetated
2030-01-01,54818.87679189901,24735.87453301517,86718.38450820945,Barren or Sparsely Vegetated
2031-01-01,53280.70269693423,22226.5078406647,84854.45301811786,Barren or Sparsely Vegetated
2032-01-01,51831.89311497301,23225.4193290952,80414.60722215158,Barren or Sparsely Vegetated
2033-01-01,69373.74569300498,39453.683017821466,101948.837276883,Barren or Sparsely Vegetated
2024-01-01,-20.879098582144184,-173.61912621527833,116.06134724583751,Closed Shrublands
2025-01-01,-17.967128745801972,-162.8596172614501,117.77520409273589,Closed Shrublands
2026-01-01,-18.790245404716313,-161.5999475489871,120.71109402523821,Closed Shrublands
2027-01-01,-19.608906239471608,-161.4560106005287,118.87989144995672,Closed Shrublands
2028-01-01,-20.42193583390843,-156.77488634157567,115.62777965968445,Closed Shrublands
2029-01-01,-17.5099659975652,-158.72464789793392,119.22579453901119,Closed Shrublands
2030-01-01,-18.333082656470314,-148.86471923777884,123.5983292232271,Closed Shrublands
2031-01-01,-19.151743491231667,-162.15399784934775,115.742270070812,Closed Shrublands
2032-01-01,-19.96477308566834,-158.01900783829237,114.4057548921444,Closed Shrublands
2033-01-01,-17.052803249319297,-156.44213143055077,125.94591932673157,Closed Shrublands
2024-01-01,120.36928574813142,-154.37498769190995,387.76094659120145,Cropland/Natural Vegetation Mosaic
2025-01-01,1.1414822555967419,-275.0400149716989,267.31327024470795,Cropland/Natural Vegetation Mosaic
2026-01-01,50.235589231127165,-219.27465616619946,337.53287482376516,Cropland/Natural Vegetation Mosaic
2027-01-01,99.66371556030391,-189.59135397264825,383.5642000199997,Cropland/Natural Vegetation Mosaic
2028-01-01,149.3739304947586,-147.87059329768323,415.3894936335282,Cropland/Natural Vegetation Mosaic
2029-01-01,30.146127002160938,-245.61601975983152,309.93305928428435,Cropland/Natural Vegetation Mosaic
2030-01-01,79.24023397727825,-202.72773280607078,360.0885458313371,Cropland/Natural Vegetation Mosaic
2031-01-01,128.66836030673963,-149.60629996915435,393.1720207290097,Cropland/Natural Vegetation Mosaic
2032-01-01,178.37857524116475,-115.50970155929176,476.5833727257536,Cropland/Natural Vegetation Mosaic
2033-01-01,59.15077174833155,-229.14409890693292,337.23850638467286,Cropland/Natural Vegetation Mosaic
2024-01-01,-13332.975118190792,-40257.5881486962,16513.287337538524,Croplands
2025-01-01,-26360.034247089432,-55313.488566482534,4559.67762871497,Croplands
2026-01-01,-24083.412812892508,-49280.30367200549,2891.7707900477662,Croplands
2027-01-01,-21788.88824484427,-52892.39892277452,6639.994712417088,Croplands
2028-01-01,-19481.141193722535,-44788.721343368416,7744.820793884666,Croplands
2029-01-01,-32508.200322626988,-59659.98391470651,-4458.219475830939,Croplands
2030-01-01,-30231.57888846768,-59512.22951344588,-1115.6229814971623,Croplands
2031-01-01,-27937.054320393217,-57081.46405490415,-466.14648004890523,Croplands
2032-01-01,-25629.307269274675,-52711.57144634545,1858.2214663789684,Croplands
2033-01-01,-38656.366398200014,-66613.23926320577,-11788.777130948158,Croplands
2024-01-01,-40.67015950825165,-225.7829978312466,139.96120894104087,Deciduous Broadleaf Forest
2025-01-01,17.736645201563462,-155.37900453535758,199.7725397510631,Deciduous Broadleaf Forest
2026-01-01,-4.889693420400512,-195.71999297002674,188.5075305152966,Deciduous Broadleaf Forest
2027-01-01,-25.688373855477984,-207.5947587232602,153.2773307994191,Deciduous Broadleaf Forest
2028-01-01,-44.63542452704361,-223.68969261785765,136.88429238796354,Deciduous Broadleaf Forest
2029-01-01,13.771380182768212,-164.21977552087608,197.99976725117043,Deciduous Broadleaf Forest
2030-01-01,-8.854958438977519,-202.965097837286,164.5834483839821,Deciduous Broadleaf Forest
2031-01-01,-29.653638874196055,-221.42756006129218,142.98778779339222,Deciduous Broadleaf Forest
2032-01-01,-48.600689545719405,-235.0926489404145,122.4032885224918,Deciduous Broadleaf Forest
2033-01-01,9.806115164198665,-161.5647273211065,190.3111085058019,Deciduous Broadleaf Forest
2024-01-01,0.7154318352219474,-0.3202184706783299,1.8206705801834908,Deciduous Needleleaf Forest
2025-01-01,0.6769981988483091,-0.37058751528251727,1.8139760486103436,Deciduous Needleleaf Forest
2026-01-01,0.7598306357584432,-0.2254637759535909,1.778737695207508,Deciduous Needleleaf Forest
2027-01-01,0.8289204432482307,-0.2765783924228867,1.8686020733244495,Deciduous Needleleaf Forest
2028-01-01,0.8842336165896478,-0.15513440245309518,1.8803776044589493,Deciduous Needleleaf Forest
2029-01-01,0.8457999802162286,-0.10961036415118583,1.887543425675112,Deciduous Needleleaf Forest
2030-01-01,0.9286324171259268,-0.16092201972377082,1.920704987101389,Deciduous Needleleaf Forest
2031-01-01,0.9977222246159088,-0.03168803544566932,2.009675488256076,Deciduous Needleleaf Forest
2032-01-01,1.0530353979571665,0.06566085082025688,2.103380223912057,Deciduous Needleleaf Forest
2033-01-01,1.0146017615835634,0.028041298858773045,2.104211529105695,Deciduous Needleleaf Forest
2024-01-01,-544.8607497877315,-1954.1438034645357,882.0049120115083,Evergreen Broadleaf Forest
2025-01-01,-1461.3861083313484,-2851.76486150175,-60.289679918722975,Evergreen Broadleaf Forest
2026-01-01,-1281.2683531191096,-2646.2994366138255,97.75627634568009,Evergreen Broadleaf Forest
2027-01-01,-1108.3621072689823,-2542.1311268700533,221.6123243471847,Evergreen Broadleaf Forest
2028-01-01,-942.9988283643963,-2354.7349621530702,442.2675274863669,Evergreen Broadleaf Forest
2029-01-01,-1859.5241869082843,-3308.8157918759475,-513.8025700279451,Evergreen Broadleaf Forest
2030-01-01,-1679.4064316988247,-3013.2161744919845,-205.3683285712416,Evergreen Broadleaf Forest
2031-01-01,-1506.5001858468054,-2913.4824131813675,-129.8612083458638,Evergreen Broadleaf Forest
2032-01-01,-1341.1369069425634,-2760.339661302449,78.0671194377065,Evergreen Broadleaf Forest
2033-01-01,-2257.662265487923,-3612.856092666551,-788.7340036887664,Evergreen Broadleaf Forest
2024-01-01,-1023.752644341926,-2140.9565120383686,16.760962484798895,Evergreen Needleleaf Forest
2025-01-01,-1393.0333000161604,-2497.0914278839455,-237.4821939199231,Evergreen Needleleaf Forest
2026-01-01,-1417.2255166906607,-2536.0160381406276,-312.4441758121675,Evergreen Needleleaf Forest
2027-01-01,-1460.6187864178414,-2566.3239948203795,-385.7154001544443,Evergreen Needleleaf Forest
2028-01-01,-1523.311594839828,-2653.661289171005,-418.25356808231,Evergreen Needleleaf Forest
2029-01-01,-1892.59225051384,-3120.50846038388,-791.9125826931548,Evergreen Needleleaf Forest
2030-01-01,-1916.7844671893763,-2955.570003522327,-788.6503421509036,Evergreen Needleleaf Forest
2031-01-01,-1960.1777369159586,-3088.041311992003,-932.1545626650222,Evergreen Needleleaf Forest
2032-01-01,-2022.870545338234,-3159.5074979889687,-957.599579245497,Evergreen Needleleaf Forest
2033-01-01,-2392.1512010127076,-3520.7800585089017,-1266.8703090578717,Evergreen Needleleaf Forest
2024-01-01,-17516.480392503647,-37186.88488633599,2101.710902133494,Grasslands
2025-01-01,-18332.913987574553,-36294.07926688291,-211.66279670551106,Grasslands
2026-01-01,-19845.176535727674,-38099.42998932683,-2226.4561865057435,Grasslands
2027-01-01,-21267.700404580493,-39463.19330735715,-3595.767154273118,Grasslands
2028-01-01,-22600.301057108627,-39658.55124725075,-3683.0606134836803,Grasslands
2029-01-01,-23416.734652180952,-42648.68712053359,-4786.4941596992685,Grasslands
2030-01-01,-24928.99720033145,-42419.47741640128,-6607.69303856048,Grasslands
2031-01-01,-26351.52106918547,-43971.90098709501,-8867.20880372413,Grasslands
2032-01-01,-27684.12172171236,-45072.66203050986,-8975.412069015554,Grasslands
2033-01-01,-28500.555316783782,-46583.368944077585,-10325.589650288743,Grasslands
2024-01-01,47.64987195643167,-233.90079585195562,343.46750609232987,Mixed Forest
2025-01-01,-22.428770270311976,-339.1078040333954,260.0930885126749,Mixed Forest
2026-01-01,0.9124146113141762,-282.6939388449156,305.5997687712912,Mixed Forest
2027-01-01,24.654260231154577,-279.7918400705916,310.7939021907391,Mixed Forest
2028-01-01,48.76824552680409,-279.2910328502034,354.4160251346327,Mixed Forest
2029-01-01,-21.310396699981478,-327.7204196618754,275.91108600992845,Mixed Forest
2030-01-01,2.0307881814175985,-288.73420131830125,320.8073079448315,Mixed Forest
2031-01-01,25.772633801419584,-290.77726172312344,342.00614128641575,Mixed Forest
2032-01-01,49.88661909704942,-266.28919558035335,332.5485348557244,Mixed Forest
2033-01-01,-20.192023129860477,-332.3386147957867,297.31105353676,Mixed Forest
2024-01-01,5350.116296889697,-16549.980986752442,28154.744546063175,Open Shrublands
2025-01-01,3510.206003224641,-17942.001846693023,26746.562314079412,Open Shrublands
2026-01-01,3868.6102462429335,-18090.397412423514,26494.5124128182,Open Shrublands
2027-01-01,4146.873018980879,-19272.692550963493,28643.5574666531,Open Shrublands
2028-01-01,4344.353882714182,-18733.957149441725,28274.117316439006,Open Shrublands
2029-01-01,2504.4435890497643,-20148.20781473629,26016.78911981881,Open Shrublands
2030-01-01,2862.847832061867,-21987.832679728843,25471.000758920673,Open Shrublands
2031-01-01,3141.110604803629,-22359.902335586463,26884.58993963995,Open Shrublands
2032-01-01,3338.591468535549,-19131.315220424647,26349.8228555058,Open Shrublands
2033-01-01,1498.6811748682067,-21686.056353138243,24412.755620535263,Open Shrublands
2024-01-01,370.1294089259645,-441.87787336904375,1212.632934415991,Permanent Wetlands
2025-01-01,196.81482144824486,-625.4887381458832,1041.3021565063555,Permanent Wetlands
2026-01-01,280.9915542724759,-546.3634572220716,1062.7738370521415,Permanent Wetlands
2027-01-01,380.1539055105652,-419.63093303419475,1260.27460289488,Permanent Wetlands
2028-01-01,494.2162346807868,-357.80613840719434,1255.6693710957252,Permanent Wetlands
2029-01-01,320.9016472027174,-542.94194506208,1138.0959177994623,Permanent Wetlands
2030-01-01,405.0783800264553,-505.89682285717845,1169.026156109176,Permanent Wetlands
2031-01-01,504.2407312649625,-332.85021208784565,1345.9062800976074,Permanent Wetlands
2032-01-01,618.3030604353249,-207.94933977741334,1468.991264749241,Permanent Wetlands
2033-01-01,444.98847295686255,-398.02547662457675,1314.7944775969922,Permanent Wetlands
2024-01-01,963.1981840166079,-2963.4116862567726,4700.9968781872585,Savannas
2025-01-01,-98.66970318126096,-3492.7801126108634,3478.3973015172537,Savannas
2026-01-01,275.51231550694894,-3536.085488513164,3767.890164828044,Savannas
2027-01-01,636.8374163126682,-2839.1393636358757,4204.9674696326465,Savannas
2028-01-01,984.8700522020447,-2460.038761362502,4315.269888857313,Savannas
2029-01-01,-76.99783499608924,-3891.138304626993,3178.0096188162947,Savannas
2030-01-01,297.18418368844345,-3511.881571857684,3878.3115704523652,Savannas
2031-01-01,658.5092844966157,-3085.256597090183,4313.673306281025,Savannas
2032-01-01,1006.5419203855379,-2667.823040784167,4510.49940707671,Savannas
2033-01-01,-55.32596681456454,-3822.9423096029977,3713.4956883928958,Savannas
2024-01-01,-0.5905229655858335,-51.330945801277544,52.25510251618193,Snow and Ice
2025-01-01,-12.029528320186454,-66.82890536597269,37.14655206553317,Snow and Ice
2026-01-01,-8.342410133568066,-60.94274818259813,45.222513222815984,Snow and Ice
2027-01-01,-5.2010915711885986,-52.18796298469719,48.82748493110299,Snow and Ice
2028-01-01,-2.6100277057778456,-54.2351761496109,49.5395619675341,Snow and Ice
2029-01-01,-14.049033060373851,-67.36656699237665,37.355407414407274,Snow and Ice
