ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,44.662590114717375,34.992819342068145,54.50598820441186,Urban and Built-up
2025-01-01,45.62343129292269,35.96475464573741,55.39349280198693,Urban and Built-up
2026-01-01,48.46746307897763,38.598444750736675,58.53285345925087,Urban and Built-up
2027-01-01,50.83457105875833,41.05820968859507,60.254069851718754,Urban and Built-up
2028-01-01,52.72429698416374,42.87339452693791,61.86107346446756,Urban and Built-up
2029-01-01,53.685138162377356,43.98421182633261,64.24397465268696,Urban and Built-up
2030-01-01,56.52916994842306,46.76960642531207,66.87824519824747,Urban and Built-up
2031-01-01,58.896277928206615,49.097222834173806,68.40669603264513,Urban and Built-up
2032-01-01,60.78600385360696,51.0172114703059,70.69653379310427,Urban and Built-up
2033-01-01,61.74684503181753,51.90927188218316,71.71723511326107,Urban and Built-up
