ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,-40.67015950825165,-212.78901671413792,155.22960837759675,Deciduous Broadleaf Forest
2025-01-01,17.736645201563462,-156.3907596574524,202.46586749312624,Deciduous Broadleaf Forest
2026-01-01,-4.889693420400512,-183.45643782906643,169.48272725385158,Deciduous Broadleaf Forest
2027-01-01,-25.688373855477984,-190.1449610627118,158.5755639320359,Deciduous Broadleaf Forest
2028-01-01,-44.63542452704361,-227.01717531911785,141.4608687491503,Deciduous Broadleaf Forest
2029-01-01,13.771380182768212,-174.837867920651,195.68814193436052,Deciduous Broadleaf Forest
2030-01-01,-8.854958438977519,-191.4595453142424,168.86261776007555,Deciduous Broadleaf Forest
2031-01-01,-29.653638874196055,-211.58774808961599,154.64415977981636,Deciduous Broadleaf Forest
2032-01-01,-48.600689545719405,-232.8272064845893,134.12523704013503,Deciduous Broadleaf Forest
2033-01-01,9.806115164198665,-171.4675977802239,190.60281974278192,Deciduous Broadleaf Forest
